tile_name,lon_center,lat_center
310100_019_0,121.32561397519152,31.19752293067481
310100_019_1,121.33996017017128,31.19801325233624
310100_019_105,121.32900746002065,31.23794433558316
310100_019_106,121.33626569491639,31.236506859701656
310100_019_107,121.3477362494385,31.237071279145358
310100_019_108,121.35593390620362,31.23791524981144
310100_019_109,121.36489353249196,31.237369730415708
310100_019_110,121.37351766131489,31.23803889561329
310100_019_111,121.38351294719003,31.237365501747522
310100_019_112,121.39176983758863,31.237868428818814
310100_019_113,121.39721034903826,31.23753752274377
310100_019_126,121.32976274244177,31.245185198476157
310100_019_127,121.33671775119394,31.245462492261296
310100_019_128,121.34797230412548,31.245381822869636
310100_019_129,121.35579579609838,31.245135402238507
310100_019_130,121.36499856816572,31.245031873447278
310100_019_131,121.37310085085163,31.24534207732967
310100_019_132,121.38352852742356,31.245027633704204
310100_019_133,121.39159421781667,31.245478086224026
310100_019_134,121.39708318514846,31.245884449608834
310100_019_147,121.33078986192905,31.24969031322751
310100_019_148,121.33610724061997,31.249669681328363
310100_019_149,121.34826157518631,31.249682224826298
310100_019_150,121.35632545904896,31.24969403865785
310100_019_151,121.36541025861332,31.24964240186916
310100_019_152,121.37451375129507,31.24971770825781
310100_019_153,121.38429922790965,31.249810309082335
310100_019_154,121.39229528877627,31.2496440932034
310100_019_155,121.3971501736371,31.24966855591278
310100_019_2,121.3460952402399,31.198758589633922
310100_019_21,121.32588352491501,31.206769786826605
310100_019_22,121.34014643228156,31.207378445056207
310100_019_23,121.34586395953451,31.20726491033877
310100_019_24,121.35543048505146,31.20664009429208
310100_019_25,121.36525634557285,31.20674097227312
310100_019_26,121.37424405674177,31.207639593780108
310100_019_27,121.38304136845451,31.207133458415576
310100_019_28,121.3916725292025,31.20726445145339
310100_019_29,121.3972630997866,31.20743923144771
310100_019_3,121.3559105030541,31.19999801739248
310100_019_4,121.36488165653671,31.199405092807233
310100_019_42,121.32663071472587,31.212745481441114
310100_019_43,121.33977786607939,31.21349610785328
310100_019_44,121.34795615652283,31.214548778657996
310100_019_45,121.35621157118288,31.214253349719908
310100_019_46,121.3649996921948,31.21473302507951
310100_019_47,121.37395579356483,31.21456436835942
310100_019_48,121.38296347861828,31.21420932097051
310100_019_49,121.3916005830853,31.214398483851603
310100_019_5,121.37353339901041,31.19801409077724
310100_019_50,121.39721760949838,31.214681450091014
310100_019_6,121.38315327446388,31.19891438128363
310100_019_63,121.32873108518325,31.222452225970272
310100_019_64,121.3378016812832,31.223308880992732
310100_019_65,121.34870607746092,31.22138312639136
310100_019_66,121.35675169661444,31.22237272885967
310100_019_67,121.36500882866942,31.22198988792432
310100_019_68,121.37344388367632,31.221708890631145
310100_019_69,121.38312919610684,31.222458008775956
310100_019_7,121.39174289483405,31.198600015341345
310100_019_70,121.39186557703826,31.221433405116482
310100_019_71,121.39725758820275,31.221761798349817
310100_019_8,121.39732494382648,31.198816609138273
310100_019_84,121.33024157902305,31.229841181287195
310100_019_85,121.3357193777186,31.230160806758104
310100_019_86,121.3470179006077,31.22984947795552
310100_019_87,121.35627300741044,31.23024767555722
310100_019_88,121.3652944409181,31.230422187151017
310100_019_89,121.37366446903,31.229698043737887
310100_019_90,121.38319145468913,31.230377740940064
310100_019_91,121.39178195857156,31.2310081140161
310100_019_92,121.3971740234299,31.231088605248384
310100_011_285,121.25829770345567,31.122262146167813
310100_011_286,121.26560842781704,31.122457940375508
310100_011_287,121.27319684804483,31.121783464028347
310100_011_288,121.28405239355378,31.122086352448616
310100_011_289,121.29206389463444,31.121978217152684
310100_011_290,121.30228321056809,31.12222766385469
310100_011_291,121.31023207885943,31.122133045115433
310100_011_292,121.32022043563265,31.122245015646563
310100_011_293,121.32429168424599,31.12207202905768
310100_011_305,121.25198335795137,31.127312965721867
310100_011_306,121.25913181978743,31.12680080430993
